2025_FullName,Kaggle_ShortName,Kaggle_FullName,All_Variants,Confidence,Match_Type,Player_Type,IPL_Team_2025,Found_In_Batting,Found_In_Bowling,First_Appearance,Status
Anshul Kamboj,Anshul Kamboj,Anshul Kamboj,Anshul Kamboj,100,EXACT,All-Rounder,CSK,No,Yes,2024,MATCHED
Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,100,EXACT,All-Rounder,CSK,Yes,Yes,2021,MATCHED
Kamlesh Nagarkoti,Kamlesh Nagarkoti,Kamlesh Nagarkoti,Kamlesh Nagarkoti,100,EXACT,All-Rounder,CSK,Yes,Yes,2021,MATCHED
Rachin Ravindra,Rachin Ravindra,Rachin Ravindra,Rachin Ravindra,100,EXACT,All-Rounder,CSK,Yes,Yes,2024,MATCHED
Ravichandran Ashwin,Ravichandran Ashwin,Ravichandran Ashwin,Ravichandran Ashwin,100,EXACT,All-Rounder,CSK,Yes,Yes,2021,MATCHED
Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,100,EXACT,All-Rounder,CSK,Yes,Yes,2021,MATCHED
Sam Curran,Sam Curran,Sam Curran,Sam Curran,100,EXACT,All-Rounder,CSK,Yes,Yes,2021,MATCHED
Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,100,EXACT,All-Rounder,CSK,Yes,Yes,2021,MATCHED
Vijay Shankar,Vijay Shankar,Vijay Shankar,Vijay Shankar,100,EXACT,All-Rounder,CSK,Yes,Yes,2021,MATCHED
Devon Conway,Devon Conway,Devon Conway,Devon Conway,100,EXACT,Batter,CSK,Yes,No,2022,MATCHED
Dewald Brevis,Dewald Brevis,Dewald Brevis,Dewald Brevis,98,EXACT,Batter,CSK,Yes,Yes,2022,MATCHED
Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,100,EXACT,Batter,CSK,Yes,No,2021,MATCHED
Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,100,EXACT,Batter,CSK,Yes,No,2021,MATCHED
Khaleel Ahmed,Khaleel Ahmed,Khaleel Ahmed,Khaleel Ahmed,98,EXACT,Bowler,CSK,Yes,Yes,2021,MATCHED
Matheesha Pathirana,Matheesha Pathirana,Matheesha Pathirana,Matheesha Pathirana,100,EXACT,Bowler,CSK,No,Yes,2022,MATCHED
Mukesh Choudhary,Mukesh Choudhary,Mukesh Choudhary,Mukesh Choudhary,98,EXACT,Bowler,CSK,Yes,Yes,2022,MATCHED
Nathan Ellis,Nathan Ellis,Nathan Ellis,Nathan Ellis,98,EXACT,Bowler,CSK,Yes,Yes,2021,MATCHED
Noor Ahmad,Noor Ahmad,Noor Ahmad,Noor Ahmad,98,EXACT,Bowler,CSK,Yes,Yes,2023,MATCHED
Shreyas Gopal,Shreyas Gopal,Shreyas Gopal,Shreyas Gopal,98,EXACT,Bowler,CSK,Yes,Yes,2021,MATCHED
MS Dhoni,MS Dhoni,MS Dhoni,MS Dhoni,100,EXACT,WK-Batter,CSK,Yes,No,2021,MATCHED
Ashutosh Sharma,Ashutosh Sharma,Ashutosh Sharma,Ashutosh Sharma,100,EXACT,All-Rounder,DC,Yes,No,2024,MATCHED
Axar Patel,Axar Patel,Axar Patel,Axar Patel,100,EXACT,All-Rounder,DC,Yes,Yes,2021,MATCHED
Darshan Nalkande,Darshan Nalkande,Darshan Nalkande,Darshan Nalkande,100,EXACT,All-Rounder,DC,Yes,Yes,2022,MATCHED
Sameer Rizvi,Sameer Rizvi,Sameer Rizvi,Sameer Rizvi,100,EXACT,All-Rounder,DC,Yes,No,2024,MATCHED
Faf du Plessis,Faf du Plessis,Faf du Plessis,Faf du Plessis,100,EXACT,Batter,DC,Yes,No,2021,MATCHED
Karun Nair,Karun Nair,Karun Nair,Karun Nair,100,EXACT,Batter,DC,Yes,No,2022,MATCHED
Harry Brook,Harry Brook,Harry Brook,Harry Brook,100,EXACT,Batter ,DC,Yes,No,2023,MATCHED
Jake Fraser-McGurk,Jake Fraser-McGurk,Jake Fraser-McGurk,Jake Fraser-McGurk,100,EXACT,Batter ,DC,Yes,No,2024,MATCHED
