Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,Total_Innings,Total_Runs,Total_Balls_Faced,Total_Minutes,Dismissals,Times_Not_Out,Batting_Average,Strike_Rate,Avg_Runs_Per_Innings,Avg_Balls_Per_Innings,Avg_Minutes_Per_Innings,Count_30_Plus,Count_50_Plus,Count_70_Plus,Highest_Score,Most_Fours_Innings,Most_Sixes_Innings,Total_Fours,Total_Sixes,Total_Boundaries,Boundary_Runs,Boundary_Percentage,Boundary_Frequency,Fours_Per_Innings,Sixes_Per_Innings,Four_to_Six_Ratio,Balls_Per_Four,Balls_Per_Six,Balls_Per_Boundary,Non_Boundary_Runs,Non_Boundary_Balls,Rotation_Strike_Rate,Estimated_Dot_Balls,Dot_Ball_Percentage,Runs_Std_Deviation,Runs_CV,Percentage_30_Plus,Percentage_50_Plus,Percentage_70_Plus,Conversion_30_to_50,Conversion_50_to_70,Percentage_Single_Digit,Percentage_Duck,Powerplay_Runs,Powerplay_Balls,Powerplay_SR,Powerplay_Contribution,Death_Overs_Runs,Death_Overs_Balls,Death_Overs_SR,Death_Overs_Contribution,Impact_Score
Andre Siddarth,,Batter,CSK,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anshul Kamboj,,All-Rounder,CSK,YES,6,16,14,0,2,4,8,114.28,0,0,0,0,0,0,5,1,0,2,0,2,8,50,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayush Mhatre,,Batter,CSK,YES,8,258,142,0,8,0,32.25,181.69,0,0,0,3,1,0,94,6,3,32,13,45,206,0,0,0,0,0,0,0,0,52,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Overton,,All-Rounder,CSK,YES,126,1687,1068,0,82,44,20.57,157.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramakrishna Ghosh,,All-Rounder,CSK,YES,7,42,27,0,5,2,8.4,155.55,0,0,0,0,0,0,13,2,1,4,2,6,28,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaik Rasheed,,Batter,CSK,YES,21,434,350,0,18,3,24.11,124,0,0,0,5,1,1,100,7,3,45,13,58,258,0,0,0,0,0,0,0,0,176,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urvil Patel,,WK-Batter,CSK,YES,51,1349,751,0,47,4,28.7,179.62,0,0,0,20,4,3,119,8,5,151,70,221,1024,0,0,0,0,0,0,0,0,325,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vansh Bedi,,WK-Batter,CSK,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajay Mandal,,All-Rounder,DC,YES,45,457,344,0,35,10,16.92,132.84,0,0,0,4,0,0,49,4,2,31,24,55,268,0,0,0,0,0,0,0,0,189,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhav Tiwari,,All-Rounder,DC,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manvanth Kumar,,All-Rounder,DC,YES,2,21,15,0,1,1,21,140,0,0,0,0,0,0,13,2,0,2,0,2,8,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediqullah Atal,,Batter,DC,YES,22,470,399,0,20,2,23.5,117.79,0,0,0,5,3,1,73,6,3,30,23,53,258,0,0,0,0,0,0,0,0,212,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripurana Vijay,,All-Rounder,DC,YES,4,46,53,0,4,0,11.5,86.79,0,0,0,0,0,0,23,2,1,4,1,5,22,0,0,0,0,0,0,0,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vipraj Nigam,,All-Rounder,DC,YES,13,206,120,0,11,2,18.72,171.66,0,0,0,2,0,0,39,3,2,22,11,33,110,0,0,0,0,0,0,0,0,96,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
