2025_FullName,Kaggle_ShortName,Kaggle_FullName,All_Variants,Confidence,Match_Type,Player_Type,IPL_Team_2025,Found_In_Batting,Found_In_Bowling,First_Appearance,Status
Jamie Overton,,,Jamie Overton,0,NO_MATCH,All-Rounder,CSK,No,No,DEBUT,DEBUT
Ramakrishna Ghosh,,,Ramakrishna Ghosh,0,NO_MATCH,All-Rounder,CSK,No,No,DEBUT,DEBUT
Andre Siddarth,,,Andre Siddarth,0,NO_MATCH,Batter,CSK,No,No,DEBUT,DEBUT
Ayush Mhatre,,,Ayush Mhatre,0,NO_MATCH,Batter,CSK,No,No,DEBUT,DEBUT
Shaik Rasheed,,,Shaik Rasheed,0,NO_MATCH,Batter,CSK,No,No,DEBUT,DEBUT
Gurjapneet Singh,,,Gurjapneet Singh,0,NO_MATCH,Bowler,CSK,No,No,DEBUT,DEBUT
Urvil Patel,,,Urvil Patel,0,NO_MATCH,WK-Batter,CSK,No,No,DEBUT,DEBUT
Vansh Bedi,,,Vansh Bedi,0,NO_MATCH,WK-Batter,CSK,No,No,DEBUT,DEBUT
Ajay Mandal,,,Ajay Mandal,0,NO_MATCH,All-Rounder,DC,No,No,DEBUT,DEBUT
Madhav Tiwari,,,Madhav Tiwari,0,NO_MATCH,All-Rounder,DC,No,No,DEBUT,DEBUT
Manvanth Kumar,,,Manvanth Kumar,0,NO_MATCH,All-Rounder,DC,No,No,DEBUT,DEBUT
Tripurana Vijay,,,Tripurana Vijay,0,NO_MATCH,All-Rounder,DC,No,No,DEBUT,DEBUT
Vipraj Nigam,,,Vipraj Nigam,0,NO_MATCH,All-Rounder,DC,No,No,DEBUT,DEBUT
Sediqullah Atal,,,Sediqullah Atal,0,NO_MATCH,Batter,DC,No,No,DEBUT,DEBUT
Karim Janat,,,Karim Janat,0,NO_MATCH,All-Rounder,GT,No,No,DEBUT,DEBUT
Nishant Sindhu,,,Nishant Sindhu,0,NO_MATCH,All-Rounder,GT,No,No,DEBUT,DEBUT
Kusal Mendis,,,Kusal Mendis,0,NO_MATCH,Batter,GT,No,No,DEBUT,DEBUT
Shivam Shukla,,,Shivam Shukla,0,NO_MATCH,Bowler,KKR,No,No,DEBUT,DEBUT
Luvnith Sisodia,,,Luvnith Sisodia,0,NO_MATCH,WK-Batter,KKR,No,No,DEBUT,DEBUT
Yuvraj Chaudhary,,,Yuvraj Chaudhary,0,NO_MATCH,All-Rounder,LSG,No,No,DEBUT,DEBUT
Himmat Singh,,,Himmat Singh,0,NO_MATCH,Batter,LSG,No,No,DEBUT,DEBUT
Matthew Breetzke,,,Matthew Breetzke,0,NO_MATCH,Batter,LSG,No,No,DEBUT,DEBUT
Digvesh Singh,,,Digvesh Singh,0,NO_MATCH,Bowler,LSG,No,No,DEBUT,DEBUT
Prince Yadav,,,Prince Yadav,0,NO_MATCH,Bowler,LSG,No,No,DEBUT,DEBUT
William O’Rourke,,,William O’Rourke,0,NO_MATCH,Bowler,LSG,No,No,DEBUT,DEBUT
Aryan Juyal,,,Aryan Juyal,0,NO_MATCH,WK-Batter,LSG,No,No,DEBUT,DEBUT
Bevon Jacobs,,,Bevon Jacobs,0,NO_MATCH,Batter,MI,No,No,DEBUT,DEBUT
Allah Ghazanfar,,,Allah Ghazanfar,0,NO_MATCH,Bowler,MI,No,No,DEBUT,DEBUT
Ashwani Kumar,,,Ashwani Kumar,0,NO_MATCH,Bowler,MI,No,No,DEBUT,DEBUT
Charith Asalanka,,,Charith Asalanka,0,NO_MATCH,Bowler,MI,No,No,DEBUT,DEBUT
Mujeeb-ur-Rahman,,,Mujeeb-ur-Rahman,0,NO_MATCH,Bowler,MI,No,No,DEBUT,DEBUT
Raghu Sharma,,,Raghu Sharma,0,NO_MATCH,Bowler,MI,No,No,DEBUT,DEBUT
V Satyanarayana Penmetsa,,,V Satyanarayana Penmetsa,0,NO_MATCH,Bowler,MI,No,No,DEBUT,DEBUT
Vignesh Puthur,,,Vignesh Puthur,0,NO_MATCH,Bowler,MI,No,No,DEBUT,DEBUT
Robin Minz,,,Robin Minz,0,NO_MATCH,WK-Batter,MI,No,No,DEBUT,DEBUT
Ryan Rickelton,,,Ryan Rickelton,0,NO_MATCH,WK-Batter,MI,No,No,DEBUT,DEBUT
Shrijith Krishnan,,,Shrijith Krishnan,0,NO_MATCH,WK-Batter,MI,No,No,DEBUT,DEBUT
Aaron Hardie,,,Aaron Hardie,0,NO_MATCH,All-Rounder,PK,No,No,DEBUT,DEBUT
Musheer Khan,,,Musheer Khan,0,NO_MATCH,All-Rounder,PK,No,No,DEBUT,DEBUT
Priyansh Arya,,,Priyansh Arya,0,NO_MATCH,All-Rounder,PK,No,No,DEBUT,DEBUT
Suryansh Shedge,,,Suryansh Shedge,0,NO_MATCH,All-Rounder,PK,No,No,DEBUT,DEBUT
Harnoor Pannu,,,Harnoor Pannu,0,NO_MATCH,Batter,PK,No,No,DEBUT,DEBUT
Mitch Owen,,,Mitch Owen,0,NO_MATCH,Batter,PK,No,No,DEBUT,DEBUT
Pyla Avinash,,,Pyla Avinash,0,NO_MATCH,Batter,PK,No,No,DEBUT,DEBUT
Xavier Bartlett,,,Xavier Bartlett,0,NO_MATCH,Bowler,PK,No,No,DEBUT,DEBUT
Josh Inglis,,,Josh Inglis,0,NO_MATCH,WK-Batter,PK,No,No,DEBUT,DEBUT
Jacob Bethell,,,Jacob Bethell,0,NO_MATCH,All-Rounder,RCB,No,No,DEBUT,DEBUT
Manoj Bhandage,,,Manoj Bhandage,0,NO_MATCH,All-Rounder,RCB,No,No,DEBUT,DEBUT
Swastik Chhikara,,,Swastik Chhikara,0,NO_MATCH,Batter,RCB,No,No,DEBUT,DEBUT
Abhinandan Singh,,,Abhinandan Singh,0,NO_MATCH,Bowler,RCB,No,No,DEBUT,DEBUT
Blessing Muzarabani,,,Blessing Muzarabani,0,NO_MATCH,Bowler,RCB,No,No,DEBUT,DEBUT
Lungisani Ngidi,,,Lungisani Ngidi,0,NO_MATCH,Bowler,RCB,No,No,DEBUT,DEBUT
Lhuan-dre Pretorius,,,Lhuan-dre Pretorius,0,NO_MATCH,Batter,RR,No,No,DEBUT,DEBUT
Vaibhav Suryavanshi,,,Vaibhav Suryavanshi,0,NO_MATCH,Batter,RR,No,No,DEBUT,DEBUT
Ashok Sharma,,,Ashok Sharma,0,NO_MATCH,Bowler,RR,No,No,DEBUT,DEBUT
Kunal Rathore,,,Kunal Rathore,0,NO_MATCH,WK-Batter,RR,No,No,DEBUT,DEBUT
Brydon Carse,,,Brydon Carse,0,NO_MATCH,All-Rounder,SRH,No,No,DEBUT,DEBUT
Harsh Dubey,,,Harsh Dubey,0,NO_MATCH,All-Rounder,SRH,No,No,DEBUT,DEBUT
Kamindu Mendis,,,Kamindu Mendis,0,NO_MATCH,All-Rounder,SRH,No,No,DEBUT,DEBUT
Wiaan Mulder,,,Wiaan Mulder,0,NO_MATCH,All-Rounder,SRH,No,No,DEBUT,DEBUT
Aniket Verma,,,Aniket Verma,0,NO_MATCH,Batter,SRH,No,No,DEBUT,DEBUT
Smaran Ravichandran,,,Smaran Ravichandran,0,NO_MATCH,Batter,SRH,No,No,DEBUT,DEBUT
Eshan Malinga,,,Eshan Malinga,0,NO_MATCH,Bowler,SRH,No,No,DEBUT,DEBUT
Zeeshan Ansari,,,Zeeshan Ansari,0,NO_MATCH,Bowler,SRH,No,No,DEBUT,DEBUT
