Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,Total_Innings_Bowled,Total_Overs_Bowled,Total_Balls_Bowled,Total_Runs_Conceded,Total_Wickets,Total_Maidens,Total_Dot_Balls,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Avg_Wickets_Per_Innings,Avg_Overs_Per_Innings,Avg_Runs_Per_Innings,Wickets_Per_Over,Runs_Per_Ball,Count_3_Wickets,Count_4_Wickets,Count_5_Wickets,Best_Bowling_Figures,Best_Bowling_Wickets,Best_Bowling_Runs,Best_Economy_Innings,Most_Dots_Innings,Most_Wickets_Match,Dot_Ball_Percentage,Maiden_Percentage,Total_Fours_Conceded,Total_Sixes_Conceded,Boundaries_Conceded,Boundary_Concession_Rate,Runs_From_Boundaries,Boundary_Run_Percentage,Control_Index,Pressure_Index,Scoring_Ball_Percentage,Non_Boundary_Economy,Total_Wides,Total_No_Balls,Total_Extras,Extras_Percentage,Wides_Per_Innings,NoBalls_Per_Innings,Discipline_Score,Most_Runs_Conceded_Innings,Count_Expensive_Innings,Expensive_Innings_Rate,Wickets_Std_Deviation,Economy_CV,Percentage_Wicketless,Percentage_3_Plus_Wickets,Powerplay_Overs,Powerplay_Runs,Powerplay_Wickets,Powerplay_Economy,Death_Overs,Death_Runs,Death_Wickets,Death_Overs_Economy,Impact_Score,Wicket_Taking_Ability
Anshul Kamboj,Anshul Kamboj,All-Rounder,CSK,NO,1.0,4.0,24.0,42.0,1.0,0.0,9.0,42.0,10.5,24.0,1.0,4.0,42.0,0.25,1.75,0.0,0.0,0.0,1/42,1.0,42.0,10.5,9.0,1.0,37.5,0.0,3.0,2.0,5.0,20.833333333333332,24.0,57.142857142857146,0.16666666666666666,0.375,62.5,4.5,1.0,2.0,3.0,12.5,1.0,2.0,87.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.5,4.166666666666667
Deepak Hooda,Deepak Hooda,All-Rounder,CSK,NO,11.0,23.0,138.0,200.0,3.0,0.0,40.0,66.66666666666667,8.695652173913043,46.0,0.2727272727272727,2.090909090909091,18.181818181818183,0.13043478260869565,1.4492753623188406,0.0,0.0,0.0,1/31,1.0,31.0,5.0,12.0,1.0,28.985507246376812,0.0,16.0,9.0,25.0,18.115942028985508,118.0,59.0,0.10869565217391304,0.2898550724637681,71.01449275362319,3.5652173913043477,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.0,2.0,18.181818181818183,0.46709936649691375,43.12,72.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.52173913043478,0.592885375494071
Kamlesh Nagarkoti,Kamlesh Nagarkoti,All-Rounder,CSK,NO,2.0,4.0,24.0,54.0,0.0,0.0,6.0,0.0,13.5,0.0,0.0,2.0,27.0,0.0,2.25,0.0,0.0,0.0,0/29,0.0,29.0,0.0,4.0,0.0,25.0,0.0,6.0,3.0,9.0,37.5,42.0,77.77777777777777,-0.125,0.25,75.0,3.0,1.0,0.0,1.0,4.166666666666667,0.5,0.0,95.83333333333333,29.0,2.0,100.0,0.0,10.48,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.5,0.0
Khaleel Ahmed,Khaleel Ahmed,Bowler,CSK,NO,37.0,140.1,841.0,1241.0,43.0,3.0,355.0,28.86046511627907,8.857958600999286,19.558139534883722,1.162162162162162,3.7864864864864862,33.54054054054054,0.30692362598144185,1.4756242568370987,3.0,0.0,0.0,3/25,3.0,25.0,4.5,16.0,3.0,42.21165279429251,2.142857142857143,134.0,49.0,183.0,21.759809750297265,830.0,66.88154713940371,0.20451843043995244,0.44351961950059454,57.78834720570749,2.9336188436830835,45.0,4.0,49.0,5.826397146254459,1.2162162162162162,0.10810810810810811,94.17360285374554,51.0,3.0,8.108108108108109,0.9578190943061311,31.14,29.72972972972973,8.108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.7102069950035,5.9420895330526715
Matheesha Pathirana,Matheesha Pathirana,Bowler,CSK,NO,19.0,71.5,431.0,570.0,32.0,0.0,172.0,17.8125,7.972027972027972,13.46875,1.6842105263157894,3.763157894736842,30.0,0.44755244755244755,1.322505800464037,4.0,1.0,0.0,4/28,4.0,28.0,3.75,13.0,4.0,39.907192575406036,0.0,47.0,14.0,61.0,14.153132250580047,272.0,47.719298245614034,0.25754060324825984,0.3990719257540603,60.092807424593964,4.1678321678321675,49.0,1.0,50.0,11.600928074245939,2.5789473684210527,0.05263157894736842,88.39907192575406,48.0,0.0,0.0,1.1081832770072813,24.81,15.789473684210526,21.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.1398601398602,12.504579313713517
Mukesh Choudhary,Mukesh Choudhary,Bowler,CSK,NO,14.0,46.3,279.0,451.0,16.0,0.0,121.0,28.1875,9.740820734341254,17.4375,1.1428571428571428,3.307142857142857,32.214285714285715,0.3455723542116631,1.6164874551971327,3.0,1.0,0.0,4/46,4.0,46.0,5.75,17.0,4.0,43.369175627240146,0.0,49.0,20.0,69.0,24.731182795698924,316.0,70.06651884700665,0.1863799283154122,0.4336917562724014,56.630824372759854,2.915766738660907,18.0,1.0,19.0,6.810035842293907,1.2857142857142858,0.07142857142857142,93.1899641577061,52.0,3.0,21.428571428571427,1.3506205330054124,50.72,42.857142857142854,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.29589632829374,6.554019457245263
Nathan Ellis,Nathan Ellis,Bowler,CSK,NO,14.0,51.0,306.0,438.0,17.0,0.0,102.0,25.764705882352942,8.588235294117647,18.0,1.2142857142857142,3.642857142857143,31.285714285714285,0.3333333333333333,1.4313725490196079,2.0,1.0,0.0,4/30,4.0,30.0,4.0,11.0,4.0,33.333333333333336,0.0,35.0,18.0,53.0,17.320261437908496,248.0,56.62100456621005,0.16013071895424835,0.3333333333333333,66.66666666666667,3.7254901960784315,8.0,3.0,11.0,3.5947712418300655,0.5714285714285714,0.21428571428571427,96.40522875816994,46.0,0.0,0.0,1.1883130530663677,23.0,28.571428571428573,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.05882352941177,6.746031746031745
Noor Ahmad,Noor Ahmad,Bowler,CSK,NO,23.0,81.2,492.0,659.0,24.0,0.0,178.0,27.458333333333332,8.115763546798028,20.5,1.0434782608695652,3.5304347826086957,28.652173913043477,0.29556650246305416,1.339430894308943,1.0,0.0,0.0,3/37,3.0,37.0,4.5,13.0,3.0,36.17886178861789,0.0,49.0,27.0,76.0,15.447154471544716,358.0,54.3247344461305,0.2073170731707317,0.3617886178861789,63.82113821138211,3.706896551724138,20.0,1.0,21.0,4.2682926829268295,0.8695652173913043,0.043478260869565216,95.73170731707317,43.0,3.0,13.043478260869565,0.9759965009980692,31.87,39.130434782608695,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.4211822660099,5.090137857900318
Rachin Ravindra,Rachin Ravindra,All-Rounder,CSK,NO,2.0,2.0,12.0,7.0,0.0,0.0,5.0,0.0,3.5,0.0,0.0,1.0,3.5,0.0,0.5833333333333334,0.0,0.0,0.0,0/3,0.0,3.0,0.0,3.0,0.0,41.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,58.333333333333336,3.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,20.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.5,0.0
Ravichandran Ashwin,Ravichandran Ashwin,All-Rounder,CSK,NO,53.0,199.0,1198.0,1541.0,38.0,0.0,364.0,40.55263157894737,7.743718592964824,31.526315789473685,0.7169811320754716,3.7547169811320753,29.07547169811321,0.19095477386934673,1.2863105175292153,2.0,0.0,0.0,3/17,3.0,17.0,4.25,14.0,3.0,30.38397328881469,0.0,82.0,62.0,144.0,12.020033388981636,700.0,45.425048669695,0.18363939899833054,0.3038397328881469,69.61602671118531,4.226130653266332,53.0,2.0,55.0,4.590984974958264,1.0,0.03773584905660377,95.40901502504174,49.0,1.0,1.8867924528301887,0.8407267572799061,24.09,49.056603773584904,3.7735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.2814070351758,2.274230635965603
