Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,BASE_OVR,TOP_ORDER_OVR,MIDDLE_ORDER_OVR,FINISHER_OVR
Anshul Kamboj,,All-Rounder,CSK,YES,51.2,51.2,55.2,51.2
Deepak Hooda,Deepak Hooda,All-Rounder,CSK,NO,60.5,55.0,66.0,60.6
Jamie Overton,,All-Rounder,CSK,YES,60.3,51.2,67.6,51.2
Kamlesh Nagarkoti,Kamlesh Nagarkoti,All-Rounder,CSK,NO,55.0,55.0,59.0,55.0
Rachin Ravindra,Rachin Ravindra,All-Rounder,CSK,NO,77.3,63.0,55.0,68.7
Ramakrishna Ghosh,,All-Rounder,CSK,YES,69.1,58.6,51.2,62.0
Ravichandran Ashwin,Ravichandran Ashwin,All-Rounder,CSK,NO,55.5,55.0,57.2,61.6
Ravindra Jadeja,Ravindra Jadeja,All-Rounder,CSK,NO,67.7,59.2,70.1,64.0
Sam Curran,Sam Curran,All-Rounder,CSK,NO,58.4,55.0,63.0,60.1
Shivam Dube,Shivam Dube,All-Rounder,CSK,NO,76.9,73.5,76.2,83.4
Vijay Shankar,Vijay Shankar,All-Rounder,CSK,NO,61.6,55.0,70.9,57.3
Andre Siddarth,,Batter,CSK,YES,51.2,51.2,55.2,51.2
Ayush Mhatre,,Batter,CSK,YES,90.2,76.9,73.1,83.0
Devon Conway,Devon Conway,Batter,CSK,NO,83.9,75.5,78.4,73.1
Dewald Brevis,Dewald Brevis,Batter,CSK,NO,72.7,61.6,55.0,67.0
Rahul Tripathi,Rahul Tripathi,Batter,CSK,NO,71.1,78.9,65.2,66.5
Ruturaj Gaikwad,Ruturaj Gaikwad,Batter,CSK,NO,82.5,75.9,80.2,77.3
Shaik Rasheed,,Batter,CSK,YES,66.8,72.4,51.9,56.3
MS Dhoni,MS Dhoni,WK-Batter,CSK,NO,66.0,63.2,59.9,70.4
Urvil Patel,,WK-Batter,CSK,YES,89.2,93.7,73.8,84.5
Vansh Bedi,,WK-Batter,CSK,YES,51.2,51.2,58.7,51.2
Ajay Mandal,,All-Rounder,DC,YES,54.2,53.1,51.2,56.9
Ashutosh Sharma,Ashutosh Sharma,All-Rounder,DC,NO,87.1,70.2,67.1,82.4
Axar Patel,Axar Patel,All-Rounder,DC,NO,61.6,58.2,61.3,65.7
Darshan Nalkande,Darshan Nalkande,All-Rounder,DC,NO,55.0,55.0,59.0,55.0
Madhav Tiwari,,All-Rounder,DC,YES,51.2,51.2,55.2,51.2
Manvanth Kumar,,All-Rounder,DC,YES,63.2,51.2,59.0,51.2
Sameer Rizvi,Sameer Rizvi,All-Rounder,DC,NO,55.0,55.0,59.0,55.0
Tripurana Vijay,,All-Rounder,DC,YES,51.2,51.2,55.2,51.2
Vipraj Nigam,,All-Rounder,DC,YES,86.2,71.9,61.4,76.4
Faf du Plessis,Faf du Plessis,Batter,DC,NO,87.4,86.1,81.6,77.9
Karun Nair,Karun Nair,Batter,DC,NO,55.0,55.0,59.0,55.0
Sediqullah Atal,,Batter,DC,YES,64.3,57.3,62.5,55.6
Harry Brook,Harry Brook,Batter ,DC,NO,66.3,71.3,65.6,55.2
Jake Fraser-McGurk,Jake Fraser-McGurk,Batter ,DC,NO,97.0,85.7,88.0,91.3
Abishek Porel,Abishek Porel,WK-Batter,DC,NO,80.7,64.5,70.0,66.4
Donovan Ferreira,Donovan Ferreira,WK-Batter,DC,NO,55.0,55.0,62.5,55.0
KL Rahul,KL Rahul,WK-Batter,DC,NO,84.3,74.3,84.2,73.4
Tristan Stubbs,Tristan Stubbs,WK-Batter,DC,NO,80.1,85.6,76.4,78.4
Arshad Khan,Arshad Khan,All-Rounder,GT,NO,55.9,55.0,59.0,55.0
Dasun Shanaka,Dasun Shanaka,All-Rounder,GT,NO,55.0,55.0,59.0,55.0
Jayant Yadav,Jayant Yadav,All-Rounder,GT,NO,59.2,55.0,59.0,55.0
Karim Janat,,All-Rounder,GT,YES,72.4,69.8,60.5,67.5
M Shahrukh Khan,M Shahrukh Khan,All-Rounder,GT,NO,60.3,60.6,56.4,65.1
Mahipal Lomror,Mahipal Lomror,All-Rounder,GT,NO,59.7,59.7,57.8,70.4
Nishant Sindhu,,All-Rounder,GT,YES,70.4,73.1,58.7,57.9
Sai Kishore,Sai Kishore,All-Rounder,GT,NO,77.8,67.8,55.0,77.5
Sai Sudharsan,Sai Sudharsan,All-Rounder,GT,NO,75.8,67.7,76.0,70.4
Washington Sundar,Washington Sundar,All-Rounder,GT,NO,55.0,55.0,59.0,55.0
Kusal Mendis,,Batter,GT,YES,72.2,63.1,69.8,63.3
Sherfane Rutherford,Sherfane Rutherford,Batter,GT,NO,55.0,55.0,59.0,55.0
Shubman Gill,Shubman Gill,Batter,GT,NO,79.9,73.5,81.0,74.2
Glenn Phillips,Glenn Phillips,Batter ,GT,NO,57.6,55.0,59.0,56.9
Anuj Rawat,Anuj Rawat,WK-Batter,GT,NO,55.0,55.0,55.5,64.0
Jos Buttler,Jos Buttler,WK-Batter,GT,NO,89.1,89.1,79.1,83.0
Kumar Kushagra,Kumar Kushagra,WK-Batter,GT,NO,55.0,55.0,62.5,55.0
Andre Russell,Andre Russell,All-Rounder,KKR,NO,74.8,80.9,67.0,81.7
Anukul Roy,Anukul Roy,All-Rounder,KKR,NO,55.0,55.0,59.0,55.0
Moeen Ali,Moeen Ali,All-Rounder,KKR,NO,63.7,64.9,57.7,69.5
Ramandeep Singh,Ramandeep Singh,All-Rounder,KKR,NO,83.8,67.2,60.7,74.2
Sunil Narine,Sunil Narine,All-Rounder,KKR,NO,82.2,83.2,73.2,79.4
Venkatesh Iyer,Venkatesh Iyer,All-Rounder,KKR,NO,65.6,61.4,69.1,64.6
Ajinkya Rahane,Ajinkya Rahane,Batter,KKR,NO,63.0,64.4,59.1,61.1
Angkrish Raghuvanshi,Angkrish Raghuvanshi,Batter,KKR,NO,83.2,67.7,65.6,72.7
