Player_Name,2025_Name,Matched_FullName,Player_Type,IPL_Team_2025,Batting_Innings,Bowling_Innings,Total_Innings,Match_Confidence,Match_Type
HH Pandya,Hardik Pandya,Hardik Pandya,All-Rounder,MI,41,31,72,1.0,exact_fullname_variation
KH Pandya,Kunal Rathore,Krunal Pandya,WK-Batter,RR,37,34,71,0.8,fuzzy_comprehensive
AR Patel,Axar Patel,Axar Patel,All-Rounder,DC,33,38,71,1.0,exact_fullname_variation
AR Patel,Axar Patel,Axar Patel,All-Rounder,DC,33,38,71,1.0,exact_fullname_variation
KH Pandya,Kunal Rathore,Krunal Pandya,WK-Batter,RR,37,34,71,0.8,fuzzy_comprehensive
SP Narine,Sunil Narine,Sunil Narine,Bowler,KKR,31,39,70,1.0,exact_fullname_variation
Rashid Khan,Rashid Khan,Rashid Khan,Bowler,GT,25,45,70,1.0,exact_variation
RA Jadeja,Ravindra Jadeja,Ravindra Jadeja,All-Rounder,CSK,31,38,69,1.0,exact_fullname_variation
R Ashwin,Smaran Ravichandran,Ravichandran Ashwin,Batter,SRH,27,40,67,0.929,fuzzy_comprehensive
R Ashwin,Smaran Ravichandran,Ravichandran Ashwin,Batter,SRH,27,40,67,0.929,fuzzy_comprehensive
AD Russell,Andre Russell,Andre Russell,All-Rounder,KKR,34,33,67,1.0,exact_fullname_variation
Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav,Bowler,DC,21,37,58,1.0,exact_variation
Shahbaz Ahmed,Shahbaz Ahamad,Shahbaz Ahmed,All-Rounder,LSG,25,31,56,1.0,exact_fullname_variation
B Kumar,Ashwani Kumar,Bhuvneshwar Kumar,Bowler,MI,15,40,55,0.857,lastname_fuzzy
B Kumar,Ashwani Kumar,Bhuvneshwar Kumar,Bowler,MI,15,40,55,0.857,lastname_fuzzy
MP Stoinis,Marcus Stoinis,Marcus Stoinis,All-Rounder,PK,37,17,54,1.0,exact_fullname_variation
HV Patel,Harshal Patel,Harshal Patel,All-Rounder,SRH,14,40,54,1.0,exact_fullname_variation
TA Boult,Trent Boult,Trent Boult,Bowler,MI,15,37,52,1.0,exact_fullname_variation
SN Thakur,Shardul Thakur,Shardul Thakur,All-Rounder,LSG,22,30,52,1.0,exact_fullname_variation
LS Livingstone,Liam Livingstone,Liam Livingstone,All-Rounder,RCB,30,21,51,1.0,exact_fullname_variation
Ravi Bishnoi,Ravi Bishnoi,Ravi Bishnoi,Bowler,LSG,10,40,50,1.0,exact_variation
SM Curran,Sam Curran,Sam Curran,All-Rounder,CSK,24,26,50,1.0,exact_fullname_variation
MM Ali,Moeen Ali,Moeen Ali,All-Rounder,KKR,24,25,49,1.0,exact_fullname_variation
Mohammed Siraj,Mohammed Siraj,Mohammed Siraj,Bowler,GT,9,40,49,1.0,exact_variation
Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Bowler,PK,9,40,49,1.0,exact_variation
Abhishek Sharma,Ashutosh Sharma,Abhishek Sharma,All-Rounder,DC,37,11,48,1.0,exact_fullname_variation
Abhishek Sharma,Ashutosh Sharma,Abhishek Sharma,All-Rounder,DC,37,11,48,1.0,exact_fullname_variation
Abhishek Sharma,Ashutosh Sharma,Abhishek Sharma,All-Rounder,DC,37,11,48,1.0,exact_fullname_variation
RD Chahar,Rahul Chahar,Rahul Chahar,Bowler,SRH,13,34,47,1.0,exact_fullname_variation
Shubman Gill,Shubman Gill,Shubman Gill,Batter,GT,45,0,45,1.0,exact_variation
Harpreet Brar,Harpreet Brar,Harpreet Brar,All-Rounder,PK,18,27,45,1.0,exact_variation
AK Markram,Aiden Markram,Aiden Markram,Batter,LSG,34,10,44,1.0,exact_fullname_variation
YS Chahal,Yuzvendra Chahal,Yuzvendra Chahal,Bowler,PK,2,42,44,1.0,exact_fullname_variation
K Rabada,Kagiso Rabada,Kagiso Rabada,Bowler,GT,13,30,43,1.0,exact_variation
RG Sharma,Raghu Sharma,Rohit Sharma,Bowler,MI,42,0,42,1.0,exact_fullname_variation
SV Samson,Sanju Samson,Sanju Samson,WK-Batter,RR,42,0,42,1.0,exact_fullname_variation
CV Varun,Varun Chakaravarthy,Varun Chakravarthy,Bowler,KKR,6,36,42,1.0,exact_fullname_variation
V Kohli,Virat Kohli,Virat Kohli,Batter,RCB,42,0,42,1.0,exact_variation
F du Plessis,Faf du Plessis,Faf du Plessis,Batter,DC,42,0,42,1.0,exact_fullname_variation
RG Sharma,Raghu Sharma,Rohit Sharma,Bowler,MI,42,0,42,1.0,exact_fullname_variation
NT Tilak Varma,N. Tilak Varma,Tilak Varma,Batter,MI,37,4,41,0.95,lastname_unique
Ishan Kishan,Ishan Kishan,Ishan Kishan,WK-Batter,SRH,41,0,41,1.0,exact_variation
VR Iyer,Venkatesh Iyer,Venkatesh Iyer,All-Rounder,KKR,36,5,41,1.0,exact_fullname_variation
JC Buttler,Bevon Jacobs,Jos Buttler,Batter,MI,41,0,41,0.769,fuzzy_comprehensive
