2025_Name,Matched_Historical_Name,Matched_FullName,Confidence,Match_Type,Player_Type,IPL_Team_2025,Status
Mitchell Starc,MJ Santner,Mitchell Santner,1.0,exact_fullname_variation,Bowler,DC,MATCHED
T. Natarajan,T Natarajan,T Natarajan,1.0,exact_variation,Bowler,DC,MATCHED
Mohit Sharma,MM Sharma,Mohit Sharma,1.0,exact_fullname_variation,Bowler,DC,MATCHED
Mukesh Kumar,Mukesh Kumar,Mukesh Kumar,1.0,exact_variation,Bowler,DC,MATCHED
Dushmantha Chameera,PVD Chameera,Dushmantha Chameera,1.0,exact_fullname_variation,Bowler,DC,MATCHED
Kuldeep Yadav,Kuldeep Yadav,Kuldeep Yadav,1.0,exact_variation,Bowler,DC,MATCHED
Mustafizur Rahman,Mustafizur Rahman,Mustafizur Rahman,1.0,exact_variation,Bowler,DC,MATCHED
KL Rahul,KL Rahul,KL Rahul,1.0,exact_variation,WK-Batter,DC,MATCHED
Karun Nair,KK Nair,Karun Nair,1.0,exact_fullname_variation,Batter,DC,MATCHED
Faf du Plessis,F du Plessis,Faf du Plessis,1.0,exact_fullname_variation,Batter,DC,MATCHED
Donovan Ferreira,D Ferreira,Donovan Ferreira,1.0,exact_variation,WK-Batter,DC,MATCHED
Sediqullah Atal,,,0.0,no_match,Batter,DC,UNMATCHED
Abishek Porel,Abishek Porel,Abishek Porel,1.0,exact_variation,WK-Batter,DC,MATCHED
Tristan Stubbs,T Stubbs,Tristan Stubbs,1.0,exact_variation,WK-Batter,DC,MATCHED
Axar Patel,AR Patel,Axar Patel,1.0,exact_fullname_variation,All-Rounder,DC,MATCHED
Sameer Rizvi,Sameer Rizvi,Sameer Rizvi,1.0,exact_variation,All-Rounder,DC,MATCHED
Ashutosh Sharma,Abhishek Sharma,Abhishek Sharma,1.0,exact_fullname_variation,All-Rounder,DC,MATCHED
Darshan Nalkande,DG Nalkande,Darshan Nalkande,1.0,exact_fullname_variation,All-Rounder,DC,MATCHED
Vipraj Nigam,,,0.0,no_match,All-Rounder,DC,UNMATCHED
Ajay Mandal,A Madhwal,Akash Madhwal,0.824,fuzzy_comprehensive,All-Rounder,DC,MATCHED
Manvanth Kumar,Mukesh Kumar,Mukesh Kumar,1.0,exact_fullname_variation,All-Rounder,DC,MATCHED
Tripurana Vijay,V Shankar,Vijay Shankar,0.857,fuzzy_comprehensive,All-Rounder,DC,MATCHED
Madhav Tiwari,KM Jadhav,Kedar Jadhav,0.75,fuzzy_comprehensive,All-Rounder,DC,MATCHED
Ishan Kishan,Ishan Kishan,Ishan Kishan,1.0,exact_variation,WK-Batter,SRH,MATCHED
Atharva Taide,A Taide,Atharva Taide,1.0,exact_variation,Batter,SRH,MATCHED
Abhinav Manohar,A Manohar,Abhinav Manohar,1.0,exact_variation,Batter,SRH,MATCHED
Aniket Verma,,,0.0,no_match,Batter,SRH,UNMATCHED
Sachin Baby,R Ravindra,Rachin Ravindra,0.75,fuzzy_comprehensive,Batter,SRH,MATCHED
Smaran Ravichandran,R Ashwin,Ravichandran Ashwin,0.929,fuzzy_comprehensive,Batter,SRH,MATCHED
Heinrich Klaasen,H Klaasen,Heinrich Klaasen,1.0,exact_variation,WK-Batter,SRH,MATCHED
Travis Head,TM Head,Travis Head,1.0,exact_fullname_variation,Batter,SRH,MATCHED
Harshal Patel,HV Patel,Harshal Patel,1.0,exact_fullname_variation,All-Rounder,SRH,MATCHED
Kamindu Mendis,,,0.0,no_match,All-Rounder,SRH,UNMATCHED
Wiaan Mulder,,,0.0,no_match,All-Rounder,SRH,UNMATCHED
Harsh Dubey,P Dubey,Praveen Dubey,0.857,lastname_fuzzy,All-Rounder,SRH,MATCHED
Abhishek Sharma,Abhishek Sharma,Abhishek Sharma,1.0,exact_variation,All-Rounder,SRH,MATCHED
Nitish Kumar Reddy,N Rana,Nitish Rana,1.0,exact_fullname_variation,All-Rounder,SRH,MATCHED
Pat Cummins,PJ Cummins,Pat Cummins,1.0,exact_fullname_variation,Bowler,SRH,MATCHED
Mohammad Shami,Mohammed Shami,Mohammed Shami,1.0,exact_variation,Bowler,SRH,MATCHED
Rahul Chahar,RD Chahar,Rahul Chahar,1.0,exact_fullname_variation,Bowler,SRH,MATCHED
Simarjeet Singh,Simarjeet Singh,Simarjeet Singh,1.0,exact_variation,Bowler,SRH,MATCHED
Zeeshan Ansari,,,0.0,no_match,Bowler,SRH,UNMATCHED
Jaydev Unadkat,JD Unadkat,Jaydev Unadkat,1.0,exact_fullname_variation,Bowler,SRH,MATCHED
Eshan Malinga,KA Maharaj,Keshav Maharaj,0.8,fuzzy_comprehensive,Bowler,SRH,MATCHED
Avesh Khan,Avesh Khan,Avesh Khan,1.0,exact_variation,Bowler,LSG,MATCHED
