Player_Name,Kaggle_Match_Name,City,Sample_Innings,Sample_Balls,Confidence_Weight,Overall_Econ,City_Econ,City_Baseline_Econ,City_Deviation,Overall_Avg,City_Avg,Overall_SR,City_SR
Abdul Samad,Abdul Samad,Mumbai,1,12,0.0,8.5,8.0,9.73,0.0,17.0,0.0,12.0,0.0
Abhishek Sharma,Abhishek Sharma,Ahmedabad,1,12,0.0,8.72,13.0,9.7,0.0,42.17,0.0,29.0,0.0
Abhishek Sharma,Abhishek Sharma,Bengaluru,1,6,0.0,8.72,10.0,10.3,0.0,42.17,0.0,29.0,0.0
Abhishek Sharma,Abhishek Sharma,Delhi,1,18,0.0,8.72,8.67,10.16,0.0,42.17,26.0,29.0,18.0
Abhishek Sharma,Abhishek Sharma,Hyderabad,4,48,0.326,8.72,11.12,9.77,-0.213,42.17,89.0,29.0,48.0
Abhishek Sharma,Abhishek Sharma,Jaipur,1,12,0.0,8.72,8.0,9.51,0.0,42.17,0.0,29.0,0.0
Abhishek Sharma,Abhishek Sharma,Mumbai,2,18,0.0,8.72,8.0,9.73,0.0,42.17,0.0,29.0,0.0
Abhishek Sharma,Abhishek Sharma,Pune,1,6,0.0,8.72,15.0,8.78,0.0,42.17,0.0,29.0,0.0
Adam Zampa,Adam Zampa,Ahmedabad,1,48,0.326,8.55,8.0,9.7,0.049,23.5,16.0,16.5,12.0
Adam Zampa,Adam Zampa,Chennai,1,24,0.0,8.55,10.75,9.25,0.0,23.5,43.0,16.5,24.0
Adam Zampa,Adam Zampa,Dharamsala,1,24,0.0,8.55,6.5,9.52,0.0,23.5,26.0,16.5,24.0
Adam Zampa,Adam Zampa,Jaipur,3,60,0.387,8.55,8.8,9.51,-0.024,23.5,17.6,16.5,12.0
Akash Deep,Akash Deep,Bengaluru,1,18,0.0,11.9,9.67,10.3,0.0,45.57,29.0,23.43,18.0
Akash Deep,Akash Deep,Kolkata,1,12,0.0,11.9,17.0,10.68,0.0,45.57,0.0,23.43,0.0
Akash Deep,Akash Deep,Mumbai,5,175,0.905,11.9,13.12,9.73,-0.109,45.57,42.56,23.43,19.44
Akash Deep,Akash Deep,Pune,1,24,0.0,11.9,5.0,8.78,0.0,45.57,10.0,23.43,12.0
Akash Madhwal,Akash Madhwal,Ahmedabad,1,48,0.326,9.77,13.0,9.7,-0.292,22.32,26.0,13.79,12.0
Akash Madhwal,Akash Madhwal,Chennai,2,27,0.0,9.77,2.22,9.25,0.0,22.32,1.43,13.79,3.86
Akash Madhwal,Akash Madhwal,Lucknow,1,24,0.0,9.77,7.75,8.28,0.0,22.32,0.0,13.79,0.0
Akash Madhwal,Akash Madhwal,Mohali,1,15,0.0,9.77,12.8,9.42,0.0,22.32,0.0,13.79,0.0
Akash Madhwal,Akash Madhwal,Mullanpur,1,18,0.0,9.77,15.33,8.88,0.0,22.32,46.0,13.79,18.0
Akash Madhwal,Akash Madhwal,Mumbai,7,147,0.877,9.77,9.88,9.73,-0.01,22.32,22.0,13.79,13.36
Akash Singh,Akash Singh,Bengaluru,1,18,0.0,9.87,11.67,10.3,0.0,45.4,35.0,27.6,18.0
Akash Singh,Akash Singh,Chennai,3,60,0.387,9.87,9.2,9.25,0.067,45.4,30.67,27.6,20.0
Akash Singh,Akash Singh,Jaipur,1,12,0.0,9.87,16.0,9.51,0.0,45.4,0.0,27.6,0.0
Akash Singh,Akash Singh,Kolkata,1,24,0.0,9.87,7.25,10.68,0.0,45.4,29.0,27.6,24.0
Andre Russell,Andre Russell,Bengaluru,2,48,0.326,10.22,7.38,10.3,0.227,17.67,14.75,10.46,12.0
Andre Russell,Andre Russell,Chennai,1,6,0.0,10.22,8.0,9.25,0.0,17.67,0.0,10.46,0.0
Andre Russell,Andre Russell,Delhi,1,6,0.0,10.22,12.0,10.16,0.0,17.67,0.0,10.46,0.0
Andre Russell,Andre Russell,Hyderabad,1,6,0.0,10.22,15.0,9.77,0.0,17.67,15.0,10.46,6.0
Andre Russell,Andre Russell,Kolkata,11,106,0.833,10.22,12.32,10.68,-0.157,17.67,21.8,10.46,10.6
Andre Russell,Andre Russell,Lucknow,1,12,0.0,10.22,9.0,8.28,0.0,17.67,9.0,10.46,6.0
Andre Russell,Andre Russell,Mumbai,11,191,0.921,10.22,11.32,9.73,-0.099,17.67,16.36,10.46,8.68
Andre Russell,Andre Russell,Pune,3,48,0.326,10.22,6.62,8.78,0.396,17.67,10.6,10.46,9.6
Andre Russell,Andre Russell,Visakhapatnam,1,8,0.0,10.22,10.77,10.82,0.0,17.67,14.0,10.46,8.0
Anrich Nortje,Anrich Nortje,Ahmedabad,1,48,0.326,9.29,9.75,9.7,-0.041,28.5,39.0,18.44,24.0
