2025_Name,Matched_Historical_Name,Matched_FullName,Confidence,Match_Type,Player_Type,IPL_Team_2025,Status
Sediqullah Atal,,,0.0,no_match,Batter,DC,UNMATCHED
Vipraj Nigam,,,0.0,no_match,All-Rounder,DC,UNMATCHED
Aniket Verma,,,0.0,no_match,Batter,SRH,UNMATCHED
Kamindu Mendis,,,0.0,no_match,All-Rounder,SRH,UNMATCHED
Wiaan Mulder,,,0.0,no_match,All-Rounder,SRH,UNMATCHED
Zeeshan Ansari,,,0.0,no_match,Bowler,SRH,UNMATCHED
Jamie Overton,,,0.0,no_match,All-Rounder,CSK,UNMATCHED
Vansh Bedi,,,0.0,no_match,WK-Batter,CSK,UNMATCHED
Karim Janat,,,0.0,no_match,All-Rounder,GT,UNMATCHED
Kusal Mendis,,,0.0,no_match,Batter,GT,UNMATCHED
Luvnith Sisodia,,,0.0,no_match,WK-Batter,KKR,UNMATCHED
V.Satyanarayana Penmetsa,,,0.0,no_match,Bowler,MI,UNMATCHED
Mujeeb-ur-Rahman,,,0.0,no_match,Bowler,MI,UNMATCHED
Charith Asalanka,,,0.0,no_match,Bowler,MI,UNMATCHED
Pyla Avinash,,,0.0,no_match,Batter,PK,UNMATCHED
Xavier Bartlett,,,0.0,no_match,Bowler,PK,UNMATCHED
Blessing Muzarabani,,,0.0,no_match,Bowler,RCB,UNMATCHED
Lungisani Ngidi,,,0.0,no_match,Bowler,RCB,UNMATCHED
Swastik Chhikara,,,0.0,no_match,Batter,RCB,UNMATCHED
Manoj Bhandage,,,0.0,no_match,All-Rounder,RCB,UNMATCHED
