team_a,team_b,h2h_matches,h2h_wins,h2h_losses,h2h_win_rate,h2h_avg_margin,h2h_recent_form,h2h_home_wins,h2h_away_wins,h2h_dominance
CSK,DC,6,4,2,0.667,53.8,1.0,1,3,0.583
CSK,GT,5,2,3,0.4,17.5,0.667,1,1,-0.117
CSK,KKR,6,4,2,0.667,28.5,0.333,0,4,0.25
CSK,LSG,2,1,1,0.5,12.0,0.5,1,0,0.0
CSK,MI,6,4,2,0.667,20.0,1.0,1,3,0.583
CSK,PK,5,1,4,0.2,20.0,0.0,0,1,-0.85
CSK,RCB,5,4,1,0.8,30.0,0.667,0,4,0.683
CSK,RR,5,1,4,0.2,45.0,0.0,0,1,-0.85
CSK,SRH,5,4,1,0.8,18.2,0.667,1,3,0.683
DC,CSK,6,2,4,0.333,20.0,0.0,0,2,-0.583
DC,GT,3,1,2,0.333,5.0,0.333,0,1,-0.417
DC,KKR,6,4,2,0.667,26.0,1.0,1,3,0.583
DC,LSG,3,0,3,0.0,0.0,0.0,0,0,-1.0
DC,MI,5,3,2,0.6,20.0,0.333,0,3,0.117
DC,PK,5,4,1,0.8,19.2,0.667,0,4,0.683
DC,RCB,5,1,4,0.2,20.0,0.333,1,0,-0.683
DC,RR,5,2,3,0.4,26.5,0.333,0,2,-0.283
DC,SRH,5,3,2,0.6,16.0,0.667,0,3,0.283
GT,CSK,5,3,2,0.6,20.0,0.333,1,2,0.117
GT,DC,3,2,1,0.667,17.0,0.667,0,2,0.417
GT,KKR,3,2,1,0.667,14.0,0.667,0,2,0.417
GT,LSG,4,4,0,1.0,36.2,1.0,1,3,1.0
GT,MI,4,2,2,0.5,58.5,0.667,2,0,0.083
GT,PK,3,2,1,0.667,20.0,0.667,0,2,0.417
GT,RCB,3,2,1,0.667,20.0,0.667,0,2,0.417
GT,RR,5,4,1,0.8,24.2,0.667,1,3,0.683
GT,SRH,3,2,1,0.667,27.0,0.667,1,1,0.417
KKR,CSK,6,2,4,0.333,20.0,0.667,0,2,-0.25
KKR,DC,6,2,4,0.333,20.0,0.0,0,2,-0.583
KKR,GT,3,1,2,0.333,20.0,0.333,0,1,-0.417
KKR,LSG,3,0,3,0.0,0.0,0.0,0,0,-1.0
KKR,MI,4,3,1,0.75,30.7,1.0,0,3,0.75
KKR,PK,5,3,2,0.6,20.0,0.667,1,2,0.283
KKR,RCB,6,4,2,0.667,35.5,0.667,1,3,0.417
KKR,RR,5,2,3,0.4,53.0,0.333,0,2,-0.283
KKR,SRH,6,4,2,0.667,22.2,0.333,0,4,0.25
LSG,CSK,2,1,1,0.5,20.0,0.5,0,1,0.0
LSG,DC,3,3,0,1.0,25.3,1.0,1,2,1.0
LSG,GT,4,0,4,0.0,0.0,0.0,0,0,-1.0
LSG,KKR,3,3,0,1.0,26.0,1.0,0,3,1.0
LSG,MI,4,3,1,0.75,19.7,0.667,1,2,0.583
LSG,PK,3,2,1,0.667,38.0,0.667,0,2,0.417
