index_x,IPL_Team_2025,batting_avg_sr,batting_avg,boundary_pct,pp_batting_sr,death_batting_sr,rotation_sr,batting_squad_size,index_y,bowling_avg_econ,bowling_avg,bowling_sr,dot_ball_pct,pp_bowling_econ,death_bowling_econ,middle_bowling_econ,bowling_squad_size,pp_net_advantage,death_net_advantage,overall_strength
0,CSK,138.450260784663,29.71220421493428,59.5403195535139,124.30260047281324,158.9821938756183,67.16057436989408,13.0,0,8.520896936519634,30.896153846153847,21.842307692307692,34.54068241469816,7.454888380330568,8.782406305770376,8.520896936519634,15.0,0.5204832866201873,3.034000313500467,0.803232205427031
1,DC,142.71792926092564,35.096934254828994,60.67434266133267,134.40890806595743,167.06827309236948,66.59639967015377,12.0,1,8.738988170148504,27.019455252918288,18.622568093385215,33.953196824070204,7.940324703817463,9.181561085972852,8.738988170148504,9.0,0.5602413989608166,2.7747627008789273,0.7938165857955561
2,GT,135.88433052873637,29.818259879303472,59.614930608003135,129.675481458829,166.42228739002934,64.87759424950706,14.0,2,8.523089581404916,29.3,20.732142857142858,39.285103471865916,7.770092339261286,9.132955107423484,8.523089581404916,16.0,0.4273634673603297,2.8289089444883206,0.5422538900638052
3,KKR,144.16097673051493,25.896899648839977,65.80220032714038,128.6824350318183,168.05821863629174,59.682738709147195,13.0,3,8.368485765629433,26.023529411764706,18.708823529411763,37.16396792957082,7.909376594789803,8.616985376827897,8.368485765629433,14.0,0.04949031360222378,3.9699104887636563,1.6791261417926264
4,LSG,140.14910268784564,27.909958127983977,59.15189673363457,114.99317911090445,167.88984587488667,68.49350196457071,10.0,4,8.95751889497003,29.426724137931036,19.81896551724138,35.590653396797926,8.483315534270382,9.310889167285325,8.95751889497003,13.0,-2.467313157450319,2.5708780570884624,0.09987247884450245
5,MI,142.14519056225348,29.878040553897232,64.82303511946681,129.70064556434818,169.73340241684343,61.23816162684013,9.0,5,8.278811524609843,27.671717171717173,20.141414141414142,41.52542372881356,7.258965667522152,9.217915147497513,8.278811524609843,12.0,1.4521332213905136,2.8797298661278705,1.656896007005662
6,PK,141.990693892672,27.511040281497213,63.17723704585349,120.9501102122924,164.9104320337197,63.08946958863678,10.0,6,8.87462470235014,27.474358974358974,18.66346153846154,36.11540443070582,8.341702192448237,9.803695150115473,8.87462470235014,13.0,-1.5883933636672332,1.3866385020170338,0.4498199845669206
7,RCB,143.05671580400414,27.895495156655386,62.3833161786654,128.7779210684842,175.42310522442972,65.04955529783874,12.0,7,8.622618687632295,33.1812865497076,23.169590643274855,37.09109209864117,6.726432408236347,9.068702290076336,8.622618687632295,11.0,2.4249272903757264,3.5574691014759754,1.0604342051358238
8,RR,147.84626748452092,31.841438934254914,66.05118676074775,131.2112556801291,171.39227642276424,63.04053214605121,8.0,8,8.80608815971536,30.9375,21.131944444444443,36.34571146894512,7.0417348547406355,9.38205265986029,8.80608815971536,12.0,2.0376558585316404,2.6620464417970346,1.1724504290213722
9,SRH,146.04922279272535,28.557902993599676,66.4910246953982,146.6338398373048,167.31160896130345,60.88414461959157,9.0,9,8.557245192911902,25.597744360902254,18.018796992481203,36.991445858543706,7.674165457184325,9.68668088997257,8.557245192911902,9.0,2.31505306936183,1.7807454841417578,1.4904318934487315
