IPL_Team_2025,last_5_win_rate,last_5_avg_score,last_5_avg_conceded,last_5_net_run_rate,last_10_win_rate,form_trend,wins_streak,losses_streak,last_match_result,days_since_last_match
CSK,0.4,187.8,162.2,1.275,0.4,0.0,0,1,0,203
DC,0.6,210.8,218.2,-0.37,0.6,0.0,1,0,1,206
GT,0.4,178.2,181.0,-0.138,0.4,0.0,1,0,1,203
KKR,0.8,208.8,183.6,1.26,0.7,0.667,3,0,1,208
LSG,0.4,171.2,191.0,-0.99,0.5,-0.333,0,2,0,205
MI,0.2,177.8,185.4,-0.38,0.4,0.0,1,0,1,207
PK,0.4,177.4,195.4,-0.9,0.3,0.0,0,2,0,204
RCB,0.8,205.2,184.2,1.05,0.4,0.667,4,0,1,204
RR,0.6,201.4,204.0,-0.13,0.7,-0.667,0,2,0,206
SRH,0.4,169.2,191.4,-1.11,0.6,0.333,1,0,1,205
