match_id,year,team_a,team_b,team_a_xi,team_b_xi,venue,winner,toss_winner,bat_first
1304047,2022,CSK,KKR,Robin Uthappa|Dwayne Bravo|Tushar Deshpande|Ambati Rayudu|Mitchell Santner|Ruturaj Gaikwad|Shivam Dube|MS Dhoni|Adam Milne|Devon Conway|Ravindra Jadeja,Sunil Narine|Ajinkya Rahane|Sam Billings|Varun Chakravarthy|Nitish Rana|Andre Russell|Umesh Yadav|Shivam Mavi|Venkatesh Iyer|Sheldon Jackson|Shreyas Iyer,"Wankhede Stadium, Mumbai",KKR,KKR,CSK
1304048,2022,DC,MI,Rovman Powell|Mandeep Singh|Prithvi Shaw|Kuldeep Yadav|Rishabh Pant|Shardul Thakur|Axar Patel|Khaleel Ahmed|Kamlesh Nagarkoti|Lalit Yadav|Tim Seifert,Tim David|Rohit Sharma|Anmolpreet Singh|Ishan Kishan|Murugan Ashwin|Tymal Mills|Basil Thampi|Daniel Sams|Kieron Pollard|Jasprit Bumrah|Tilak Varma,"Brabourne Stadium, Mumbai",DC,DC,MI
1304049,2022,PBKS,RCB,Rahul Chahar|Sandeep Sharma|M Shahrukh Khan|Odean Smith|Raj Bawa|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Harpreet Brar|Mayank Agarwal|Bhanuka Rajapaksa,Wanindu Hasaranga de Silva|Mohammed Siraj|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Akash Deep|Virat Kohli|David Willey|Anuj Rawat|Harshal Patel,"Dr DY Patil Sports Academy, Navi Mumbai",PBKS,KXIP,PBKS
1304050,2022,GT,LSG,Vijay Shankar|Varun Aaron|Mohammed Shami|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Matthew Wade,Manish Pandey|Avesh Khan|KL Rahul|Krunal Pandya|Mohsin Khan|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Evin Lewis|Ayush Badoni|Deepak Hooda,"Wankhede Stadium, Mumbai",GT,GT,LSG
1304051,2022,SRH,RR,Romario Shepherd|Washington Sundar|Aiden Markram|Nicholas Pooran|Bhuvneshwar Kumar|Abdul Samad|Abhishek Sharma|Umran Malik|Rahul Tripathi|T Natarajan|Kane Williamson,Ravichandran Ashwin|Shimron Hetmyer|Sanju Samson|Jos Buttler|Devdutt Padikkal|Nathan Coulter-Nile|Trent Boult|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal|Yashasvi Jaiswal,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,RR
1304052,2022,RCB,KKR,Wanindu Hasaranga de Silva|Mohammed Siraj|Shahbaz Ahmed|Faf du Plessis|Dinesh Karthik|Sherfane Rutherford|Akash Deep|Virat Kohli|David Willey|Anuj Rawat|Harshal Patel,Sunil Narine|Tim Southee|Ajinkya Rahane|Sam Billings|Varun Chakravarthy|Nitish Rana|Andre Russell|Umesh Yadav|Venkatesh Iyer|Sheldon Jackson|Shreyas Iyer,"Dr DY Patil Sports Academy, Navi Mumbai",RCB,RCB,KKR
1304053,2022,LSG,CSK,Manish Pandey|Avesh Khan|Andrew Tye|KL Rahul|Krunal Pandya|Dushmantha Chameera|Quinton de Kock|Ravi Bishnoi|Evin Lewis|Ayush Badoni|Deepak Hooda,Robin Uthappa|Dwayne Bravo|Tushar Deshpande|Ambati Rayudu|Dwaine Pretorius|Ruturaj Gaikwad|Shivam Dube|MS Dhoni|Ravindra Jadeja|Mukesh Choudhary|Moeen Ali,"Brabourne Stadium, Mumbai",LSG,LSG,CSK
1304054,2022,KKR,PBKS,Sunil Narine|Tim Southee|Ajinkya Rahane|Sam Billings|Nitish Rana|Andre Russell|Umesh Yadav|Shivam Mavi|Venkatesh Iyer|Varun Chakravarthy|Shreyas Iyer,Rahul Chahar|Kagiso Rabada|M Shahrukh Khan|Odean Smith|Raj Bawa|Liam Livingstone|Shikhar Dhawan|Arshdeep Singh|Harpreet Brar|Mayank Agarwal|Bhanuka Rajapaksa,"Wankhede Stadium, Mumbai",KKR,KKR,PBKS
1304055,2022,MI,RR,Tim David|Rohit Sharma|Anmolpreet Singh|Ishan Kishan|Murugan Ashwin|Tymal Mills|Basil Thampi|Daniel Sams|Kieron Pollard|Jasprit Bumrah|Tilak Varma,Ravichandran Ashwin|Shimron Hetmyer|Navdeep Saini|Sanju Samson|Jos Buttler|Devdutt Padikkal|Trent Boult|Riyan Parag|Prasidh Krishna|Yuzvendra Chahal|Yashasvi Jaiswal,"Dr DY Patil Sports Academy, Navi Mumbai",RR,MI,RR
1304056,2022,GT,DC,Vijay Shankar|Varun Aaron|Mohammed Shami|Lockie Ferguson|Rahul Tewatia|Rashid Khan|Abhinav Manohar|Hardik Pandya|Shubman Gill|David Miller|Matthew Wade,Rovman Powell|Mandeep Singh|Prithvi Shaw|Kuldeep Yadav|Rishabh Pant|Axar Patel|Shardul Thakur|Khaleel Ahmed|Mustafizur Rahman|Lalit Yadav|Tim Seifert,"Maharashtra Cricket Association Stadium, Pune",GT,DC,GT
