Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,BASE_OVR,POWERPLAY_OVR,MIDDLE_OVERS_OVR,DEATH_OVERS_OVR
Anshul Kamboj,Anshul Kamboj,All-Rounder,CSK,NO,70.5,68.2,72.8,55.0
Deepak Hooda,Deepak Hooda,All-Rounder,CSK,NO,69.3,70.5,68.1,65.3
Jamie Overton,,All-Rounder,CSK,YES,82.0,74.3,81.9,82.0
Kamlesh Nagarkoti,Kamlesh Nagarkoti,All-Rounder,CSK,NO,55.0,55.0,55.0,55.0
Rachin Ravindra,Rachin Ravindra,All-Rounder,CSK,NO,84.7,85.6,66.0,83.8
Ramakrishna Ghosh,,All-Rounder,CSK,YES,67.0,55.0,55.0,79.0
Ravichandran Ashwin,Ravichandran Ashwin,All-Rounder,CSK,NO,78.8,80.4,77.3,76.9
Ravindra Jadeja,Ravindra Jadeja,All-Rounder,CSK,NO,83.2,82.3,84.0,78.1
Sam Curran,Sam Curran,All-Rounder,CSK,NO,72.7,69.5,75.8,57.6
Shivam Dube,Shivam Dube,All-Rounder,CSK,NO,55.0,55.0,55.0,55.0
Vijay Shankar,Vijay Shankar,All-Rounder,CSK,NO,72.7,71.3,74.0,60.3
Gurjapneet Singh,,Bowler,CSK,YES,67.0,55.0,55.0,79.0
Khaleel Ahmed,Khaleel Ahmed,Bowler,CSK,NO,84.5,82.1,86.9,65.3
Matheesha Pathirana,Matheesha Pathirana,Bowler,CSK,NO,86.5,83.6,89.5,70.2
Mukesh Choudhary,Mukesh Choudhary,Bowler,CSK,NO,76.9,73.3,80.5,55.3
Nathan Ellis,Nathan Ellis,Bowler,CSK,NO,77.2,74.2,80.1,65.5
Noor Ahmad,Noor Ahmad,Bowler,CSK,NO,83.2,81.2,85.2,71.3
Shreyas Gopal,Shreyas Gopal,Bowler,CSK,NO,61.6,59.0,64.3,55.0
Ajay Mandal,,All-Rounder,DC,YES,67.0,55.0,55.0,79.0
Ashutosh Sharma,,All-Rounder,DC,YES,57.0,55.0,55.0,59.0
Axar Patel,Axar Patel,All-Rounder,DC,NO,84.8,85.1,84.6,78.5
Darshan Nalkande,Darshan Nalkande,All-Rounder,DC,NO,65.5,59.9,71.1,55.0
Madhav Tiwari,,All-Rounder,DC,YES,67.0,55.0,55.0,79.0
Manvanth Kumar,,All-Rounder,DC,YES,67.0,55.0,55.0,79.0
Sameer Rizvi,,All-Rounder,DC,YES,57.0,55.0,55.0,59.0
Tripurana Vijay,,All-Rounder,DC,YES,67.0,55.0,55.0,79.0
Vipraj Nigam,,All-Rounder,DC,YES,82.5,74.1,80.5,84.6
Dushmantha Chameera,Dushmantha Chameera,Bowler,DC,NO,75.1,76.2,73.9,59.5
Kuldeep Yadav,Kuldeep Yadav,Bowler,DC,NO,82.0,79.1,84.9,73.8
Mitchell Starc,Mitchell Starc,Bowler,DC,NO,71.0,66.3,75.8,55.0
Mohit Sharma,Mohit Sharma,Bowler,DC,NO,73.5,68.8,78.3,63.2
Mukesh Kumar,Mukesh Kumar,Bowler,DC,NO,71.7,66.6,76.8,55.0
Mustafizur Rahman,Mustafizur Rahman,Bowler,DC,NO,83.3,81.1,85.6,67.5
T Natarajan,T Natarajan,Bowler,DC,NO,76.3,72.7,80.0,64.6
Arshad Khan,Arshad Khan,All-Rounder,GT,NO,63.4,59.7,67.1,55.0
Dasun Shanaka,,All-Rounder,GT,YES,57.0,55.0,55.0,59.0
Jayant Yadav,Jayant Yadav,All-Rounder,GT,NO,81.2,83.9,78.6,71.5
Karim Janat,,All-Rounder,GT,YES,88.1,85.0,89.2,86.9
M Shahrukh Khan,M Shahrukh Khan,All-Rounder,GT,NO,77.3,78.5,60.4,76.2
Mahipal Lomror,Mahipal Lomror,All-Rounder,GT,NO,69.7,71.0,68.3,68.4
Nishant Sindhu,,All-Rounder,GT,YES,67.0,55.0,55.0,79.0
Sai Kishore,Sai Kishore,All-Rounder,GT,NO,75.7,71.6,79.8,64.1
Sai Sudharsan,,All-Rounder,GT,YES,57.0,55.0,55.0,59.0
Washington Sundar,Washington Sundar,All-Rounder,GT,NO,73.0,73.8,72.2,68.7
Gerald Coetzee,Gerald Coetzee,Bowler,GT,NO,75.5,71.1,79.9,55.0
Gurnoor Brar,Gurnoor Brar,Bowler,GT,NO,59.4,63.7,55.0,55.0
Ishant Sharma,Ishant Sharma,Bowler,GT,NO,82.7,80.9,84.4,64.1
Kagiso Rabada,Kagiso Rabada,Bowler,GT,NO,85.7,83.1,88.3,67.4
Kulwant Khejroliya,Kulwant Khejroliya,Bowler,GT,NO,61.1,55.0,67.3,55.0
Manav Suthar,Manav Suthar,Bowler,GT,NO,57.2,59.5,55.0,55.0
Mohammed Siraj,Mohammed Siraj,Bowler,GT,NO,85.9,85.0,86.8,69.2
Prasidh Krishna,Prasidh Krishna,Bowler,GT,NO,84.2,82.1,86.2,64.9
Rahul Tewatia,Rahul Tewatia,Bowler,GT,NO,64.4,64.6,64.3,63.9
Rashid Khan,Rashid Khan,Bowler,GT,NO,86.5,84.5,88.6,77.7
Andre Russell,Andre Russell,All-Rounder,KKR,NO,77.0,72.3,81.8,58.0
Anukul Roy,Anukul Roy,All-Rounder,KKR,NO,73.8,74.9,72.6,63.6
Moeen Ali,Moeen Ali,All-Rounder,KKR,NO,86.0,84.4,87.5,78.7
Ramandeep Singh,Ramandeep Singh,All-Rounder,KKR,NO,71.9,67.2,76.6,56.8
Sunil Narine,Sunil Narine,All-Rounder,KKR,NO,88.9,89.0,88.8,81.5
Venkatesh Iyer,Venkatesh Iyer,All-Rounder,KKR,NO,57.2,55.0,59.5,55.0
Anrich Nortje,Anrich Nortje,Bowler,KKR,NO,80.8,77.7,83.9,62.5
Chetan Sakariya,Chetan Sakariya,Bowler,KKR,NO,80.4,78.4,82.4,67.8
Harshit Rana,Harshit Rana,Bowler,KKR,NO,80.9,77.3,84.6,61.0
Mayank Markande,Mayank Markande,Bowler,KKR,NO,74.0,70.8,77.3,65.7
Shivam Shukla,,Bowler,KKR,YES,67.0,55.0,55.0,79.0
Spencer Johnson,Spencer Johnson,Bowler,KKR,NO,73.8,72.1,75.5,58.2
Umran Malik,Umran Malik,Bowler,KKR,NO,81.5,78.0,84.9,60.6
Vaibhav Arora,Vaibhav Arora,Bowler,KKR,NO,78.7,75.8,81.5,59.4
Varun Chakravarthy,Varun Chakravarthy,Bowler,KKR,NO,87.8,86.0,89.6,75.0
Abdul Samad,Abdul Samad,All-Rounder,LSG,NO,69.2,62.0,71.4,67.0
Arshin Kulkarni,,All-Rounder,LSG,YES,57.0,55.0,55.0,59.0
Ayush Badoni,Ayush Badoni,All-Rounder,LSG,NO,72.3,66.4,75.2,69.5
Mitchell Marsh,Mitchell Marsh,All-Rounder,LSG,NO,73.7,69.1,78.2,62.5
Rajvardhan Hangargekar,Rajvardhan Hangargekar,All-Rounder,LSG,NO,75.7,71.2,80.1,55.0
Shahbaz Ahmed,Shahbaz Ahmed,All-Rounder,LSG,NO,67.5,67.2,67.8,63.7
Shardul Thakur,Shardul Thakur,All-Rounder,LSG,NO,78.0,74.9,81.1,62.8
Yuvraj Chaudhary,,All-Rounder,LSG,YES,67.0,55.0,55.0,79.0
Akash Deep,Akash Deep,Bowler,LSG,NO,64.4,60.9,67.9,55.0
Akash Singh,Akash Singh,Bowler,LSG,NO,72.0,71.5,72.6,56.9
Avesh Khan,Avesh Khan,Bowler,LSG,NO,84.3,81.5,87.2,66.5
Digvesh Singh,,Bowler,LSG,YES,83.0,75.4,80.1,85.9
M Siddharth,M Siddharth,Bowler,LSG,NO,79.7,82.0,77.3,68.8
Mohsin Khan,Mohsin Khan,Bowler,LSG,NO,85.5,82.8,88.3,67.7
Prince Yadav,,Bowler,LSG,YES,78.4,68.8,75.6,81.3
Ravi Bishnoi,Ravi Bishnoi,Bowler,LSG,NO,83.3,81.8,84.8,73.1
