Player_Name,Kaggle_Match_Name,Overall_SR,Overall_Avg,Overall_Boundary_Pct,Balls_vs_Pace,Innings_vs_Pace,SR_vs_Pace,Avg_vs_Pace,Boundary_Pct_vs_Pace,Deviation_vs_Pace,Confidence_vs_Pace,Balls_vs_Spin,Innings_vs_Spin,SR_vs_Spin,Avg_vs_Spin,Boundary_Pct_vs_Spin,Deviation_vs_Spin,Confidence_vs_Spin,Pace_Advantage
Abdul Samad,Abdul Samad,142.62,19.77,63.91,117,17,194.02,25.22,29.06,0.354,0.845,68,10,80.88,18.33,4.41,-0.47,0.473,0.825
Abhinav Manohar,Abhinav Manohar,132.76,16.5,62.34,70,11,137.14,16.0,20.0,0.03,0.501,66,9,103.03,13.6,9.09,-0.226,0.448,0.257
Abhishek Sharma,Abhishek Sharma,154.08,27.4,69.16,368,34,150.54,29.16,23.91,-0.024,0.95,222,22,176.13,32.58,22.52,0.168,0.95,-0.192
Abishek Porel,Abishek Porel,150.0,25.0,64.67,125,12,159.2,33.17,24.8,0.063,0.855,39,7,146.15,11.4,17.95,-0.029,0.31,0.093
Aiden Markram,Aiden Markram,131.27,31.42,50.31,260,29,135.38,44.0,15.38,0.028,0.95,290,27,123.45,25.57,11.72,-0.06,0.95,0.088
Ajinkya Rahane,Ajinkya Rahane,135.47,23.31,57.99,214,25,146.73,28.55,20.56,0.078,0.944,156,19,118.59,18.5,9.62,-0.129,0.886,0.206
Andre Russell,Andre Russell,163.77,27.94,76.14,281,27,160.85,34.77,23.13,-0.02,0.95,131,26,135.88,25.43,15.27,-0.212,0.861,0.192
Angkrish Raghuvanshi,Angkrish Raghuvanshi,155.24,23.29,68.71,62,7,161.29,16.67,24.19,0.042,0.405,36,5,136.11,49.0,16.67,-0.146,0.307,0.187
Anuj Rawat,Anuj Rawat,119.1,19.88,59.12,139,17,138.13,32.0,16.55,0.131,0.869,60,11,80.0,16.0,3.33,-0.298,0.387,0.429
Anukul Roy,Anukul Roy,108.33,8.67,46.15,17,5,123.53,10.5,17.65,0.0,0.0,5,2,80.0,4.0,0.0,0.0,0.0,0.0
Arshad Khan,Arshad Khan,122.86,14.33,41.86,19,4,173.68,33.0,21.05,0.0,0.0,13,2,76.92,10.0,0.0,0.0,0.0,0.0
Arshin Kulkarni,Arshin Kulkarni,112.5,4.5,88.89,8,2,112.5,4.5,25.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,0.0
Ashutosh Sharma,Ashutosh Sharma,171.72,28.33,70.59,84,6,198.81,41.75,26.19,0.187,0.702,19,4,84.21,5.33,5.26,0.0,0.0,0.187
