venue_id,venue_name,city,metro_area,country,is_uae
57851,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,Ahmedabad,India,False
57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mohali,Mohali,India,False
1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow,India,False
58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Hyderabad,India,False
57897,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,Bengaluru,India,False
58008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai,India,False
58040,"Arun Jaitley Stadium, Delhi",Delhi,Delhi,India,False
680295,"Barsapara Cricket Stadium, Guwahati",Guwahati,Guwahati,India,False
57980,"Eden Gardens, Kolkata",Kolkata,Kolkata,India,False
58324,"Wankhede Stadium, Mumbai",Mumbai,Mumbai,India,False
58162,"Sawai Mansingh Stadium, Jaipur",Jaipur,Jaipur,India,False
58056,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Dharamsala,India,False
58317,"Brabourne Stadium, Mumbai",Mumbai,Mumbai,India,False
343050,"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,Mumbai,India,False
545380,"Maharashtra Cricket Association Stadium, Pune",Pune,Pune,India,False
392627,Dubai International Cricket Stadium,Dubai,Dubai,UAE,True
59392,Sharjah Cricket Stadium,Sharjah,Sharjah,UAE,True
59396,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,Abu Dhabi,UAE,True
58547,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Visakhapatnam,India,False
58150,"Holkar Cricket Stadium, Indore",Indore,Indore,India,False
377285,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,Rajkot,India,False
58204,"Green Park, Kanpur",Kanpur,Kanpur,India,False
601879,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Raipur,India,False
57851,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",Ahmedabad,Ahmedabad,India,False
485865,"JSCA International Stadium Complex, Ranchi",Ranchi,Ranchi,India,False
58027,"Barabati Stadium, Cuttack",Cuttack,Cuttack,India,False
58230,"Nehru Stadium, Kochi",Kochi,Kochi,India,False
343050,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Mumbai,India,False
375326,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,Nagpur,India,False
59068,"Newlands, Cape Town",Cape Town,Cape Town,South Africa,False
59159,"St George's Park, Port Elizabeth",Port Elizabeth,Port Elizabeth,South Africa,False
59089,"Kingsmead, Durban",Durban,Durban,South Africa,False
59079,"SuperSport Park, Centurion",Centurion,Centurion,South Africa,False
59098,"Buffalo Park, East London",East London,East London,India,False
59120,"The Wanderers Stadium, Johannesburg",Johannesburg,Johannesburg,South Africa,False
59135,"Diamond Oval, Kimberley",Kimberley,Kimberley,India,False
59042,"Mangaung Oval, Bloemfontein",Bloemfontein,Bloemfontein,India,False
1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mullanpur,Mullanpur,India,False
